fecha,release_version
2013-07-18 09:08:00,1.155.266.0
2014-02-21 14:20:00,1.167.387.0
2014-04-03 01:17:00,1.169.1625.0
2014-04-12 17:16:00,1.169.2478.0
2014-03-18 01:09:00,1.169.55.0
2014-06-19 17:16:00,1.177.229.0
2014-11-01 03:19:00,1.187.1121.0
2014-10-23 01:07:00,1.187.322.0
2014-11-19 00:14:00,1.189.189.0
2014-12-25 12:16:00,1.191.897.0
2015-02-18 09:32:00,1.193.185.0
2015-03-06 12:55:00,1.193.1928.0
2015-03-21 07:28:00,1.193.3377.0
2015-03-21 12:34:00,1.193.3388.0
2015-02-20 00:51:00,1.193.418.0
2015-03-24 12:22:00,1.195.109.0
2015-03-31 17:38:00,1.195.1107.0
2015-04-07 12:11:00,1.195.2226.0
2015-04-13 00:14:00,1.195.3092.0
2015-04-14 00:18:00,1.195.3225.0
2015-04-30 08:00:00,1.197.1076.0
2015-05-01 22:16:00,1.197.1237.0
2015-05-11 20:31:00,1.197.2142.0
2015-05-14 05:13:00,1.197.2441.0
2015-05-18 08:03:00,1.197.2843.0
2015-04-21 02:25:00,1.197.52.0
2015-05-30 14:55:00,1.199.1324.0
2015-06-02 12:37:00,1.199.1515.0
2015-06-03 09:07:00,1.199.1615.0
2015-06-06 18:56:00,1.199.1981.0
2015-06-09 00:05:00,1.199.2088.0
2015-06-11 09:49:00,1.199.2323.0
2015-06-16 12:19:00,1.199.2708.0
2015-06-23 19:14:00,1.199.3370.0
2015-06-24 09:18:00,1.199.3431.0
2018-08-10 03:01:00,1.2&#x17;3.1144.0
2015-07-11 21:57:00,1.201.1538.0
2015-07-14 15:42:00,1.201.1744.0
2015-07-18 19:00:00,1.201.2151.0
2015-06-26 17:34:00,1.201.224.0
2015-06-29 11:16:00,1.201.395.0
2015-07-02 12:42:00,1.201.725.0
2015-07-02 20:48:00,1.201.779.0
2015-07-03 08:32:00,1.201.857.0
2015-08-01 18:35:00,1.203.1017.0
2015-08-02 20:10:00,1.203.1062.0
2015-07-22 20:44:00,1.203.125.0
2015-08-04 20:03:00,1.203.1253.0
2015-08-07 22:54:00,1.203.1628.0
2015-08-10 19:57:00,1.203.1837.0
2015-08-11 22:34:00,1.203.1944.0
2015-08-12 04:26:00,1.203.1966.0
2015-08-14 09:39:00,1.203.2139.0
2015-08-14 13:46:00,1.203.2155.0
2015-08-20 03:19:00,1.203.2776.0
2015-07-22 08:25:00,1.203.59.0
2015-07-28 10:26:00,1.203.667.0
2015-07-30 04:32:00,1.203.808.0
2015-07-31 09:46:00,1.203.928.0
2015-07-31 11:43:00,1.203.933.0
2015-07-31 20:01:00,1.203.961.0
2015-08-21 14:20:00,1.205.102.0
2015-09-02 12:31:00,1.205.1338.0
2015-09-02 14:23:00,1.205.1354.0
2015-09-05 10:22:00,1.205.1689.0
2015-08-22 09:26:00,1.205.203.0
2015-09-10 08:36:00,1.205.2121.0
2015-09-10 19:25:00,1.205.2185.0
2015-09-14 15:12:00,1.205.2452.0
2015-08-24 15:16:00,1.205.391.0
2015-08-27 18:37:00,1.205.797.0
2015-08-29 06:28:00,1.205.995.0
2015-09-25 18:29:00,1.207.1049.0
2015-09-25 20:29:00,1.207.1058.0
2015-09-27 10:29:00,1.207.1186.0
2015-09-29 10:26:00,1.207.1349.0
2015-09-29 14:38:00,1.207.1367.0
2015-10-01 15:03:00,1.207.1618.0
2015-10-02 12:48:00,1.207.1687.0
2015-10-04 04:08:00,1.207.1891.0
2015-10-04 18:12:00,1.207.1955.0
2015-10-05 16:14:00,1.207.2059.0
2015-10-07 16:15:00,1.207.2253.0
2015-09-18 06:54:00,1.207.243.0
2015-10-09 11:28:00,1.207.2504.0
2015-09-18 18:35:00,1.207.283.0
2015-10-11 23:33:00,1.207.2950.0
2015-10-14 11:38:00,1.207.3087.0
2015-10-15 09:00:00,1.207.3196.0
2015-10-19 03:34:00,1.207.3625.0
2015-10-19 05:44:00,1.207.3631.0
2015-09-20 15:58:00,1.207.405.0
2015-09-21 12:05:00,1.207.467.0
2015-09-24 08:45:00,1.207.853.0
2015-11-04 17:31:00,1.209.1587.0
2015-11-09 05:58:00,1.209.2137.0
2015-11-09 12:29:00,1.209.2169.0
2015-11-12 00:50:00,1.209.2509.0
2015-11-12 11:59:00,1.209.2591.0
2015-11-13 09:00:00,1.209.2697.0
2015-11-17 00:21:00,1.209.3189.0
2015-11-17 10:30:00,1.209.3245.0
2015-11-17 13:04:00,1.209.3251.0
2015-10-25 03:23:00,1.209.408.0
2015-10-26 00:34:00,1.209.466.0
2015-10-28 08:07:00,1.209.730.0
2015-10-28 16:31:00,1.209.781.0
2015-10-21 23:05:00,1.209.99.0
2015-11-18 21:27:00,1.211.111.0
2015-11-28 14:59:00,1.211.1197.0
2015-12-03 06:33:00,1.211.1689.0
2015-12-03 20:18:00,1.211.1734.0
2015-12-04 00:38:00,1.211.1747.0
2015-11-19 09:49:00,1.211.176.0
2015-12-06 16:33:00,1.211.1981.0
2015-12-07 01:13:00,1.211.2006.0
2015-12-09 02:20:00,1.211.2201.0
2015-12-09 16:16:00,1.211.2264.0
2015-12-11 10:47:00,1.211.2433.0
2015-12-13 10:10:00,1.211.2598.0
2015-12-14 08:46:00,1.211.2659.0
2015-11-18 07:13:00,1.211.41.0
2015-11-26 04:38:00,1.211.916.0
2015-12-25 12:03:00,1.213.1010.0
2015-12-26 08:45:00,1.213.1063.0
2015-12-26 13:25:00,1.213.1070.0
2015-12-17 21:04:00,1.213.134.0
2016-01-01 19:38:00,1.213.1546.0
2016-01-03 11:37:00,1.213.1665.0
2016-01-04 10:03:00,1.213.1725.0
2016-01-04 12:19:00,1.213.1735.0
2016-01-05 03:48:00,1.213.1796.0
2016-01-06 07:11:00,1.213.1918.0
2016-01-08 09:17:00,1.213.2121.0
2016-01-09 01:25:00,1.213.2188.0
2016-01-09 08:16:00,1.213.2223.0
2016-01-11 22:54:00,1.213.2558.0
2016-01-12 08:11:00,1.213.2626.0
2016-01-12 17:30:00,1.213.2684.0
2016-01-12 19:51:00,1.213.2695.0
2016-01-14 04:43:00,1.213.2859.0
2016-01-15 06:15:00,1.213.2997.0
2015-12-19 04:41:00,1.213.307.0
2016-01-16 13:58:00,1.213.3131.0
2016-01-17 07:27:00,1.213.3168.0
2016-01-17 23:18:00,1.213.3199.0
2016-01-19 09:41:00,1.213.3329.0
2016-01-20 09:31:00,1.213.3429.0
2016-01-20 16:35:00,1.213.3458.0
2016-01-21 00:15:00,1.213.3521.0
2016-01-21 02:24:00,1.213.3536.0
2016-01-21 23:36:00,1.213.3699.0
2016-01-22 17:36:00,1.213.3814.0
2016-01-23 14:56:00,1.213.3963.0
2015-12-19 17:31:00,1.213.451.0
2016-01-27 22:14:00,1.213.4702.0
2015-12-19 22:08:00,1.213.475.0
2016-01-29 14:43:00,1.213.4918.0
2016-01-29 17:06:00,1.213.4923.0
2016-01-31 00:23:00,1.213.5004.0
2016-02-01 04:29:00,1.213.5059.0
2016-02-01 11:25:00,1.213.5087.0
2016-02-03 13:54:00,1.213.5308.0
2016-02-03 16:21:00,1.213.5318.0
2016-02-03 18:46:00,1.213.5329.0
2016-02-03 21:26:00,1.213.5341.0
2016-02-03 23:49:00,1.213.5352.0
2016-02-07 06:13:00,1.213.5578.0
2016-02-09 06:07:00,1.213.5655.0
2016-02-09 14:42:00,1.213.5692.0
2016-02-10 12:15:00,1.213.5806.0
2016-02-10 16:15:00,1.213.5817.0
2016-02-10 18:47:00,1.213.5826.0
2016-02-12 08:01:00,1.213.6023.0
2016-02-12 19:53:00,1.213.6073.0
2015-12-21 18:15:00,1.213.608.0
2016-02-14 12:55:00,1.213.6196.0
2016-02-14 17:38:00,1.213.6205.0
2016-02-15 06:40:00,1.213.6234.0
2016-02-15 11:25:00,1.213.6253.0
2016-02-16 14:11:00,1.213.6352.0
2016-02-18 05:25:00,1.213.6523.0
2016-02-18 18:40:00,1.213.6583.0
2016-02-19 00:20:00,1.213.6613.0
2016-02-20 09:59:00,1.213.6725.0
2016-02-23 10:49:00,1.213.6952.0
2016-02-23 18:36:00,1.213.6986.0
2016-02-24 09:59:00,1.213.7066.0
2016-02-26 09:43:00,1.213.7291.0
2016-02-29 11:40:00,1.213.7527.0
2016-03-02 11:00:00,1.213.7751.0
2015-12-23 05:20:00,1.213.790.0
2016-03-10 07:06:00,1.215.1002.0
2016-03-10 17:31:00,1.215.1037.0
2016-03-04 03:27:00,1.215.104.0
2016-03-10 18:21:00,1.215.1053.0
2016-03-11 03:54:00,1.215.1115.0
2016-03-12 08:13:00,1.215.1327.0
2016-03-14 10:50:00,1.215.1582.0
2016-03-14 15:53:00,1.215.1603.0
2016-03-14 22:57:00,1.215.1641.0
2016-03-15 10:55:00,1.215.1710.0
2016-03-18 00:47:00,1.215.2092.0
2016-03-18 23:17:00,1.215.2252.0
2016-03-21 08:16:00,1.215.2461.0
2016-03-21 18:14:00,1.215.2506.0
2016-03-05 02:22:00,1.215.254.0
2016-03-22 08:13:00,1.215.2563.0
2016-03-24 14:32:00,1.215.2826.0
2016-03-05 11:15:00,1.215.291.0
2016-03-26 04:45:00,1.215.3020.0
2016-03-27 02:21:00,1.215.3077.0
2016-03-06 02:43:00,1.215.389.0
2016-03-06 07:41:00,1.215.422.0
2016-03-08 18:09:00,1.215.780.0
2016-03-09 14:28:00,1.215.911.0
2016-04-10 13:16:00,1.217.1034.0
2016-04-12 17:25:00,1.217.1180.0
2016-04-13 04:26:00,1.217.1220.0
2016-04-13 22:12:00,1.217.1277.0
2016-04-14 06:13:00,1.217.1286.0
2016-04-14 13:13:00,1.217.1293.0
2016-04-15 15:06:00,1.217.1366.0
2016-03-30 04:20:00,1.217.141.0
2016-04-16 03:49:00,1.217.1446.0
2016-04-17 05:01:00,1.217.1503.0
2016-04-18 04:41:00,1.217.1571.0
2016-04-19 13:15:00,1.217.1699.0
2016-04-20 00:42:00,1.217.1755.0
2016-04-20 15:32:00,1.217.1832.0
2016-03-30 13:02:00,1.217.204.0
2016-04-22 21:22:00,1.217.2090.0
2016-04-23 11:53:00,1.217.2157.0
2016-04-24 04:40:00,1.217.2218.0
2016-03-30 18:16:00,1.217.223.0
2016-04-24 19:58:00,1.217.2259.0
2016-04-01 09:03:00,1.217.390.0
2016-04-01 10:38:00,1.217.399.0
2016-04-02 12:19:00,1.217.477.0
2016-04-02 20:20:00,1.217.490.0
2016-04-03 02:58:00,1.217.500.0
2016-04-04 21:41:00,1.217.599.0
2016-04-05 02:54:00,1.217.613.0
2016-04-06 08:14:00,1.217.747.0
2016-04-06 20:21:00,1.217.797.0
2016-04-07 04:29:00,1.217.824.0
2016-04-08 04:17:00,1.217.915.0
2016-04-08 12:07:00,1.217.941.0
2016-05-07 01:30:00,1.219.1026.0
2016-05-07 13:31:00,1.219.1074.0
2016-05-07 19:13:00,1.219.1090.0
2016-05-08 06:34:00,1.219.1126.0
2016-05-08 07:59:00,1.219.1130.0
2016-04-28 01:08:00,1.219.115.0
2016-05-09 20:37:00,1.219.1284.0
2016-05-10 02:18:00,1.219.1310.0
2016-05-10 13:43:00,1.219.1365.0
2016-05-11 11:40:00,1.219.1436.0
2016-05-11 23:36:00,1.219.1500.0
2016-05-13 04:15:00,1.219.1665.0
2016-05-13 14:23:00,1.219.1707.0
2016-05-13 15:48:00,1.219.1716.0
2016-05-14 17:53:00,1.219.1822.0
2016-04-28 17:22:00,1.219.190.0
2016-05-16 08:54:00,1.219.1973.0
2016-05-17 06:26:00,1.219.2085.0
2016-05-17 20:53:00,1.219.2160.0
2016-05-17 22:21:00,1.219.2167.0
2016-05-18 05:32:00,1.219.2198.0
2016-05-19 09:35:00,1.219.2327.0
2016-05-19 15:31:00,1.219.2351.0
2016-05-19 16:55:00,1.219.2355.0
2016-04-29 03:10:00,1.219.254.0
2016-04-30 09:00:00,1.219.420.0
2016-05-01 07:02:00,1.219.485.0
2016-04-27 10:43:00,1.219.58.0
2016-05-03 09:29:00,1.219.662.0
2016-05-04 10:32:00,1.219.771.0
2016-05-20 00:13:00,1.221.14.0
2016-05-22 03:57:00,1.221.299.0
2016-05-22 05:25:00,1.221.302.0
2016-05-22 12:28:00,1.221.334.0
2016-05-23 08:53:00,1.221.390.0
2016-05-23 10:53:00,1.221.397.0
2016-05-23 23:23:00,1.221.439.0
2016-05-24 03:41:00,1.221.457.0
2016-05-24 11:10:00,1.221.491.0
2016-05-24 15:54:00,1.221.508.0
2016-05-24 17:21:00,1.221.510.0
2016-05-25 06:35:00,1.221.570.0
2016-05-25 14:08:00,1.221.606.0
2016-05-25 20:17:00,1.221.629.0
2016-05-26 04:58:00,1.221.665.0
2016-05-26 13:55:00,1.221.699.0
2016-05-26 16:52:00,1.221.714.0
2016-05-27 02:01:00,1.221.745.0
2016-05-27 11:58:00,1.221.795.0
2016-05-27 17:47:00,1.221.817.0
2016-06-08 00:16:00,1.223.1002.0
2016-06-08 01:44:00,1.223.1010.0
2016-06-08 04:39:00,1.223.1020.0
2016-06-08 06:08:00,1.223.1028.0
2016-06-08 09:47:00,1.223.1046.0
2016-06-08 11:15:00,1.223.1049.0
2016-06-08 12:51:00,1.223.1056.0
